0.00,-2.12,1.80,-0.69,0.94,-0.91,3.16,0.35,
-0.95,3.16,0.34,2.01,0.51,0.46,-1.93,3.55,
-0.20,-1.89,1.97,1.53,0.93,-0.23,3.00,0.33,
0.53,-2.63,3.45,-0.69,1.64,0.65,-0.87,3.33,
0.16,-1.04,-1.18,-0.39,3.76,0.59,-2.86,1.61,
-2.88,1.53,2.76,0.14,-2.01,-0.89,0.97,-1.32,
1.52,3.87,-0.92,-1.66,1.68,-1.02,1.58,0.90,
-1.68,-3.16,-0.01,3.12,2.53,1.29,1.95,2.90,
-0.32,1.43,-2.47,-1.53,2.88,2.61,0.32,-0.06,
0.50,0.78,2.79,-1.40,2.56,-0.53,2.62,2.00,
-1.22,0.80,-0.73,-1.90,3.57,-0.64,3.80,1.07,
-1.82,0.52,2.97,-0.06,0.51,-1.70,3.19,-1.44,
-0.25,-3.02,-0.35,-0.09,-1.36,3.22,-0.44,-0.02,
0.54,3.25,-0.37,1.97,-1.03,-0.85,3.18,3.03,
-0.96,0.43,3.07,-0.77,-1.56,0.85,3.42,3.23,
0.30,0.61,0.41,-0.36,1.50,0.55,-2.60,-0.49,
